State,Date,Population
Andaman & Nicobar Islands,2021-01-01,36806.746404352285
Andaman & Nicobar Islands,2021-02-01,36825.14977755446
Andaman & Nicobar Islands,2021-03-01,36843.55315075664
Andaman & Nicobar Islands,2021-04-01,36861.95652395882
Andaman & Nicobar Islands,2021-05-01,36880.359897161
Andaman & Nicobar Islands,2021-06-01,36898.76327036317
Andaman & Nicobar Islands,2021-07-01,36917.166643565346
Andaman & Nicobar Islands,2021-08-01,36935.570016767524
Andaman & Nicobar Islands,2021-09-01,36953.9733899697
Andaman & Nicobar Islands,2021-10-01,36972.37676317187
Andaman & Nicobar Islands,2021-11-01,36990.78013637405
Andaman & Nicobar Islands,2021-12-01,37009.18350957623
Andaman & Nicobar Islands,2022-01-01,37058.01457134109
Andaman & Nicobar Islands,2022-02-01,37076.54357862675
Andaman & Nicobar Islands,2022-03-01,37095.07258591242
Andaman & Nicobar Islands,2022-04-01,37113.601593198095
Andaman & Nicobar Islands,2022-05-01,37132.13060048377
Andaman & Nicobar Islands,2022-06-01,37150.659607769434
Andaman & Nicobar Islands,2022-07-01,37169.18861505511
Andaman & Nicobar Islands,2022-08-01,37187.71762234078
Andaman & Nicobar Islands,2022-09-01,37206.246629626454
Andaman & Nicobar Islands,2022-10-01,37224.77563691212
Andaman & Nicobar Islands,2022-11-01,37243.30464419779
Andaman & Nicobar Islands,2022-12-01,37261.83365148346
Andaman & Nicobar Islands,2023-01-01,37357.55425839038
Andaman & Nicobar Islands,2023-02-01,37376.23303551957
Andaman & Nicobar Islands,2023-03-01,37394.91181264876
Andaman & Nicobar Islands,2023-04-01,37413.59058977797
Andaman & Nicobar Islands,2023-05-01,37432.26936690716
Andaman & Nicobar Islands,2023-06-01,37450.94814403635
Andaman & Nicobar Islands,2023-07-01,37469.626921165545
Andaman & Nicobar Islands,2023-08-01,37488.305698294746
Andaman & Nicobar Islands,2023-09-01,37506.984475423946
Andaman & Nicobar Islands,2023-10-01,37525.66325255314
Andaman & Nicobar Islands,2023-11-01,37544.342029682324
Andaman & Nicobar Islands,2023-12-01,37563.020806811524
Andaman & Nicobar Islands,2024-01-01,37699.900271733844
Andaman & Nicobar Islands,2024-02-01,37718.75022186971
Andaman & Nicobar Islands,2024-03-01,37737.60017200557
Andaman & Nicobar Islands,2024-04-01,37756.45012214145
Andaman & Nicobar Islands,2024-05-01,37775.300072277314
Andaman & Nicobar Islands,2024-06-01,37794.15002241318
Andaman & Nicobar Islands,2024-07-01,37812.99997254905
Andaman & Nicobar Islands,2024-08-01,37831.84992268492
Andaman & Nicobar Islands,2024-09-01,37850.699872820784
Andaman & Nicobar Islands,2024-10-01,37869.549822956644
Andaman & Nicobar Islands,2024-11-01,37888.39977309251
Andaman & Nicobar Islands,2024-12-01,37907.249723228386
Andhra Pradesh,2021-01-01,8171001.0961326035
Andhra Pradesh,2021-02-01,8175086.596680669
Andhra Pradesh,2021-03-01,8179172.097228735
Andhra Pradesh,2021-04-01,8183257.597776803
Andhra Pradesh,2021-05-01,8187343.098324869
Andhra Pradesh,2021-06-01,8191428.5988729345
Andhra Pradesh,2021-07-01,8195514.099420999
Andhra Pradesh,2021-08-01,8199599.599969068
Andhra Pradesh,2021-09-01,8203685.100517133
Andhra Pradesh,2021-10-01,8207770.601065199
Andhra Pradesh,2021-11-01,8211856.101613265
Andhra Pradesh,2021-12-01,8215941.602161333
Andhra Pradesh,2022-01-01,8226781.969707613
Andhra Pradesh,2022-02-01,8230895.360692467
Andhra Pradesh,2022-03-01,8235008.751677319
Andhra Pradesh,2022-04-01,8239122.142662175
Andhra Pradesh,2022-05-01,8243235.533647028
Andhra Pradesh,2022-06-01,8247348.9246318815
Andhra Pradesh,2022-07-01,8251462.315616734
Andhra Pradesh,2022-08-01,8255575.70660159
Andhra Pradesh,2022-09-01,8259689.097586444
Andhra Pradesh,2022-10-01,8263802.488571296
Andhra Pradesh,2022-11-01,8267915.87955615
Andhra Pradesh,2022-12-01,8272029.270541005
Andhra Pradesh,2023-01-01,8293278.994039152
Andhra Pradesh,2023-02-01,8297425.633536171
Andhra Pradesh,2023-03-01,8301572.27303319
Andhra Pradesh,2023-04-01,8305718.912530211
Andhra Pradesh,2023-05-01,8309865.55202723
Andhra Pradesh,2023-06-01,8314012.191524249
Andhra Pradesh,2023-07-01,8318158.831021268
Andhra Pradesh,2023-08-01,8322305.470518289
Andhra Pradesh,2023-09-01,8326452.1100153085
Andhra Pradesh,2023-10-01,8330598.749512327
Andhra Pradesh,2023-11-01,8334745.389009346
Andhra Pradesh,2023-12-01,8338892.0285063675
Andhra Pradesh,2024-01-01,8369278.910455433
Andhra Pradesh,2024-02-01,8373463.54991066
Andhra Pradesh,2024-03-01,8377648.189365887
Andhra Pradesh,2024-04-01,8381832.828821116
Andhra Pradesh,2024-05-01,8386017.468276343
Andhra Pradesh,2024-06-01,8390202.107731571
Andhra Pradesh,2024-07-01,8394386.747186799
Andhra Pradesh,2024-08-01,8398571.386642028
Andhra Pradesh,2024-09-01,8402756.026097255
Andhra Pradesh,2024-10-01,8406940.665552482
Andhra Pradesh,2024-11-01,8411125.30500771
Andhra Pradesh,2024-12-01,8415309.944462938
Arunachal Pradesh,2021-01-01,133702.1969123978
Arunachal Pradesh,2021-02-01,133769.04801085402
Arunachal Pradesh,2021-03-01,133835.89910931018
Arunachal Pradesh,2021-04-01,133902.75020776642
Arunachal Pradesh,2021-05-01,133969.6013062226
Arunachal Pradesh,2021-06-01,134036.45240467883
Arunachal Pradesh,2021-07-01,134103.303503135
Arunachal Pradesh,2021-08-01,134170.1546015912
Arunachal Pradesh,2021-09-01,134237.00570004742
Arunachal Pradesh,2021-10-01,134303.85679850358
Arunachal Pradesh,2021-11-01,134370.7078969598
Arunachal Pradesh,2021-12-01,134437.558995416
Arunachal Pradesh,2022-01-01,134614.94007017338
Arunachal Pradesh,2022-02-01,134682.24754020848
Arunachal Pradesh,2022-03-01,134749.55501024355
Arunachal Pradesh,2022-04-01,134816.86248027865
Arunachal Pradesh,2022-05-01,134884.16995031375
Arunachal Pradesh,2022-06-01,134951.47742034882
Arunachal Pradesh,2022-07-01,135018.7848903839
Arunachal Pradesh,2022-08-01,135086.092360419
Arunachal Pradesh,2022-09-01,135153.3998304541
Arunachal Pradesh,2022-10-01,135220.70730048916
Arunachal Pradesh,2022-11-01,135288.01477052423
Arunachal Pradesh,2022-12-01,135355.32224055936
Arunachal Pradesh,2023-01-01,135703.03174176454
Arunachal Pradesh,2023-02-01,135770.8832576354
Arunachal Pradesh,2023-03-01,135838.73477350626
Arunachal Pradesh,2023-04-01,135906.58628937718
Arunachal Pradesh,2023-05-01,135974.43780524805
Arunachal Pradesh,2023-06-01,136042.28932111894
Arunachal Pradesh,2023-07-01,136110.14083698983
Arunachal Pradesh,2023-08-01,136177.99235286072
Arunachal Pradesh,2023-09-01,136245.84386873158
Arunachal Pradesh,2023-10-01,136313.69538460247
Arunachal Pradesh,2023-11-01,136381.54690047336
Arunachal Pradesh,2023-12-01,136449.39841634422
Arunachal Pradesh,2024-01-01,136946.6193597891
Arunachal Pradesh,2024-02-01,137015.09266946898
Arunachal Pradesh,2024-03-01,137083.56597914887
Arunachal Pradesh,2024-04-01,137152.0392888288
Arunachal Pradesh,2024-05-01,137220.51259850868
Arunachal Pradesh,2024-06-01,137288.98590818854
Arunachal Pradesh,2024-07-01,137357.45921786843
Arunachal Pradesh,2024-08-01,137425.93252754834
Arunachal Pradesh,2024-09-01,137494.40583722823
Arunachal Pradesh,2024-10-01,137562.87914690812
Arunachal Pradesh,2024-11-01,137631.35245658804
Arunachal Pradesh,2024-12-01,137699.82576626795
Assam,2021-01-01,3014675.4023470283
Assam,2021-02-01,3016182.7400482013
Assam,2021-03-01,3017690.077749375
Assam,2021-04-01,3019197.4154505488
Assam,2021-05-01,3020704.753151722
Assam,2021-06-01,3022212.0908528953
Assam,2021-07-01,3023719.428554069
Assam,2021-08-01,3025226.7662552428
Assam,2021-09-01,3026734.1039564162
Assam,2021-10-01,3028241.4416575897
Assam,2021-11-01,3029748.779358763
Assam,2021-12-01,3031256.117059937
Assam,2022-01-01,3035255.650166063
Assam,2022-02-01,3036773.277991146
Assam,2022-03-01,3038290.9058162286
Assam,2022-04-01,3039808.5336413123
Assam,2022-05-01,3041326.1614663955
Assam,2022-06-01,3042843.789291478
Assam,2022-07-01,3044361.417116561
Assam,2022-08-01,3045879.044941644
Assam,2022-09-01,3047396.672766727
Assam,2022-10-01,3048914.3005918106
Assam,2022-11-01,3050431.9284168934
Assam,2022-12-01,3051949.5562419766
Assam,2023-01-01,3059789.601541549
Assam,2023-02-01,3061319.49634232
Assam,2023-03-01,3062849.39114309
Assam,2023-04-01,3064379.2859438616
Assam,2023-05-01,3065909.180744632
Assam,2023-06-01,3067439.0755454027
Assam,2023-07-01,3068968.9703461733
Assam,2023-08-01,3070498.8651469448
Assam,2023-09-01,3072028.7599477153
Assam,2023-10-01,3073558.654748486
Assam,2023-11-01,3075088.5495492565
Assam,2023-12-01,3076618.444350028
Assam,2024-01-01,3087829.6269809096
Assam,2024-02-01,3089373.5417944
Assam,2024-03-01,3090917.4566078903
Assam,2024-04-01,3092461.3714213814
Assam,2024-05-01,3094005.286234872
Assam,2024-06-01,3095549.201048362
Assam,2024-07-01,3097093.115861852
Assam,2024-08-01,3098637.0306753432
Assam,2024-09-01,3100180.9454888334
Assam,2024-10-01,3101724.8603023235
Assam,2024-11-01,3103268.775115814
Assam,2024-12-01,3104812.689929305
Bihar,2021-01-01,10056549.852878395
Bihar,2021-02-01,10061578.127804834
Bihar,2021-03-01,10066606.402731273
Bihar,2021-04-01,10071634.677657714
Bihar,2021-05-01,10076662.952584153
Bihar,2021-06-01,10081691.227510592
Bihar,2021-07-01,10086719.50243703
Bihar,2021-08-01,10091747.777363472
Bihar,2021-09-01,10096776.052289909
Bihar,2021-10-01,10101804.327216348
Bihar,2021-11-01,10106832.602142787
Bihar,2021-12-01,10111860.87706923
Bihar,2022-01-01,10125202.779165449
Bihar,2022-02-01,10130265.380555032
Bihar,2022-03-01,10135327.981944613
Bihar,2022-04-01,10140390.583334198
Bihar,2022-05-01,10145453.18472378
Bihar,2022-06-01,10150515.78611336
Bihar,2022-07-01,10155578.387502942
Bihar,2022-08-01,10160640.988892527
Bihar,2022-09-01,10165703.59028211
Bihar,2022-10-01,10170766.191671692
Bihar,2022-11-01,10175828.793061275
Bihar,2022-12-01,10180891.394450858
Bihar,2023-01-01,10207044.726362677
Bihar,2023-02-01,10212148.248725858
Bihar,2023-03-01,10217251.77108904
Bihar,2023-04-01,10222355.293452224
Bihar,2023-05-01,10227458.815815404
Bihar,2023-06-01,10232562.338178584
Bihar,2023-07-01,10237665.860541765
Bihar,2023-08-01,10242769.382904949
Bihar,2023-09-01,10247872.905268129
Bihar,2023-10-01,10252976.427631311
Bihar,2023-11-01,10258079.94999449
Bihar,2023-12-01,10263183.472357674
Bihar,2024-01-01,10300582.462958587
Bihar,2024-02-01,10305732.754190065
Bihar,2024-03-01,10310883.045421544
Bihar,2024-04-01,10316033.336653028
Bihar,2024-05-01,10321183.627884505
Bihar,2024-06-01,10326333.919115985
Bihar,2024-07-01,10331484.210347462
Bihar,2024-08-01,10336634.501578944
Bihar,2024-09-01,10341784.792810421
Bihar,2024-10-01,10346935.084041901
Bihar,2024-11-01,10352085.375273379
Bihar,2024-12-01,10357235.66650486
Chandigarh,2021-01-01,101918.94345562118
Chandigarh,2021-02-01,101969.90292734897
Chandigarh,2021-03-01,102020.8623990768
Chandigarh,2021-04-01,102071.82187080462
Chandigarh,2021-05-01,102122.78134253241
Chandigarh,2021-06-01,102173.74081426024
Chandigarh,2021-07-01,102224.70028598803
Chandigarh,2021-08-01,102275.65975771585
Chandigarh,2021-09-01,102326.61922944366
Chandigarh,2021-10-01,102377.57870117147
Chandigarh,2021-11-01,102428.53817289928
Chandigarh,2021-12-01,102479.4976446271
Chandigarh,2022-01-01,102614.71226447469
Chandigarh,2022-02-01,102666.01962060691
Chandigarh,2022-03-01,102717.32697673915
Chandigarh,2022-04-01,102768.6343328714
Chandigarh,2022-05-01,102819.94168900362
Chandigarh,2022-06-01,102871.24904513586
Chandigarh,2022-07-01,102922.5564012681
Chandigarh,2022-08-01,102973.86375740035
Chandigarh,2022-09-01,103025.17111353257
Chandigarh,2022-10-01,103076.47846966481
Chandigarh,2022-11-01,103127.78582579704
Chandigarh,2022-12-01,103179.0931819293
Chandigarh,2023-01-01,103444.14630604161
Chandigarh,2023-02-01,103495.86837919464
Chandigarh,2023-03-01,103547.59045234765
Chandigarh,2023-04-01,103599.31252550067
Chandigarh,2023-05-01,103651.0345986537
Chandigarh,2023-06-01,103702.75667180671
Chandigarh,2023-07-01,103754.47874495972
Chandigarh,2023-08-01,103806.20081811277
Chandigarh,2023-09-01,103857.92289126579
Chandigarh,2023-10-01,103909.6449644188
Chandigarh,2023-11-01,103961.36703757182
Chandigarh,2023-12-01,104013.08911072485
Chandigarh,2024-01-01,104392.11230099533
Chandigarh,2024-02-01,104444.30835714581
Chandigarh,2024-03-01,104496.50441329631
Chandigarh,2024-04-01,104548.70046944682
Chandigarh,2024-05-01,104600.89652559732
Chandigarh,2024-06-01,104653.09258174781
Chandigarh,2024-07-01,104705.2886378983
Chandigarh,2024-08-01,104757.48469404882
Chandigarh,2024-09-01,104809.6807501993
Chandigarh,2024-10-01,104861.8768063498
Chandigarh,2024-11-01,104914.07286250028
Chandigarh,2024-12-01,104966.2689186508
Chhattisgarh,2021-01-01,2467790.9104965334
Chhattisgarh,2021-02-01,2469024.8059517816
Chhattisgarh,2021-03-01,2470258.7014070298
Chhattisgarh,2021-04-01,2471492.5968622784
Chhattisgarh,2021-05-01,2472726.4923175266
Chhattisgarh,2021-06-01,2473960.387772775
Chhattisgarh,2021-07-01,2475194.2832280225
Chhattisgarh,2021-08-01,2476428.178683271
Chhattisgarh,2021-09-01,2477662.0741385194
Chhattisgarh,2021-10-01,2478895.9695937675
Chhattisgarh,2021-11-01,2480129.8650490157
Chhattisgarh,2021-12-01,2481363.7605042644
Chhattisgarh,2022-01-01,2484637.748621806
Chhattisgarh,2022-02-01,2485880.0674961167
Chhattisgarh,2022-03-01,2487122.3863704274
Chhattisgarh,2022-04-01,2488364.7052447386
Chhattisgarh,2022-05-01,2489607.02411905
Chhattisgarh,2022-06-01,2490849.34299336
Chhattisgarh,2022-07-01,2492091.661867671
Chhattisgarh,2022-08-01,2493333.9807419823
Chhattisgarh,2022-09-01,2494576.2996162935
Chhattisgarh,2022-10-01,2495818.6184906038
Chhattisgarh,2022-11-01,2497060.937364915
Chhattisgarh,2022-12-01,2498303.256239226
Chhattisgarh,2023-01-01,2504721.0591353867
Chhattisgarh,2023-02-01,2505973.4196649543
Chhattisgarh,2023-03-01,2507225.780194522
Chhattisgarh,2023-04-01,2508478.14072409
