Date,State,electric_vehicles_sold,total_vehicles_sold,Population,EV_Stations,Petroleum_Consumption,Monthly Inflation Rate,State-wise GDP
2021-04-01,andaman & nicobar islands,9,683,36861.95652395882,2.0,171.4611967740842,6.198437499999997,3.4020706558773086
2021-04-01,andhra pradesh,462,71281,8183257.597776803,221.0,7266.291119527662,6.198437499999997,755.2507562854559
2021-04-01,arunachal pradesh,0,1980,133902.75020776642,8.0,275.8059754483148,6.198437499999997,12.35817792056219
2021-04-01,assam,7,36920,3019197.4154505488,47.0,2710.027324672215,6.198437499999997,278.6483382868958
2021-04-01,bihar,51,86787,10071634.677657714,82.0,5518.296652711083,6.198437499999997,929.533210514887
2021-04-01,chandigarh,8,2626,102071.82187080462,5.0,312.04623089409284,6.198437499999997,9.420431868636642
2021-04-01,chhattisgarh,36,11837,2471492.5968622784,45.0,3420.814793838902,6.198437499999997,228.09946169130143
2021-04-01,dnh and dd,1,935,56792.568187831566,0.0,541.6330726085775,6.198437499999997,5.241510433070814
2021-04-01,delhi,333,22309,1624248.1000635717,538.0,2911.2771840411974,6.198437499999997,149.90541252196397
2021-04-01,goa,44,4816,141159.04086208902,43.0,555.5835004417188,6.198437499999997,13.027876868569535
2021-04-01,gujarat,142,66391,5847602.761963441,169.0,21940.0631432918,6.198437499999997,539.6880589008517
2021-04-01,haryana,104,46554,2452722.991703097,229.0,9852.99887282331,6.198437499999997,226.36717374578905
2021-04-01,himachal pradesh,10,7904,664192.471225662,26.0,1527.8381833780354,6.198437499999997,61.29977704093889
2021-04-01,jammu & kashmir,22,11981,1213348.5479447967,23.0,1300.818671588186,6.198437499999997,111.9825934261347
2021-04-01,jharkhand,83,30394,3191606.881397254,59.0,3139.303578614005,6.198437499999997,294.5603852915503
2021-04-01,karnataka,1639,76843,5910974.367011191,697.0,11121.366307076318,6.198437499999997,545.5367630467825
2021-04-01,kerala,511,81284,3232048.6079773447,191.0,5461.284323893905,6.198437499999997,298.2928407617778
2021-04-01,ladakh,0,22,,,140.6145813344002,6.198437499999997,
2021-04-01,madhya pradesh,128,34847,7026701.618019834,173.0,7283.316347103229,6.198437499999997,648.5096732923918
2021-04-01,maharashtra,524,62344,10872245.41318464,659.0,17849.385676165803,6.198437499999997,1003.4233277783638
2021-04-01,manipur,2,3856,276319.5481166048,15.0,236.6507614813048,6.198437499999997,25.502135940119675
2021-04-01,meghalaya,1,2119,287058.8582850021,18.0,409.2973697474688,6.198437499999997,26.49329038317053
2021-04-01,mizoram,0,1788,106135.34463722524,,130.41384162354643,6.198437499999997,9.795463279520751
2021-04-01,nagaland,0,1308,191469.3227320591,5.0,162.5432524057053,6.198437499999997,17.671122908087124
2021-04-01,odisha,196,42054,4061007.25232716,116.0,5926.673449152094,6.198437499999997,374.79924858213695
2021-04-01,puducherry,18,3236,120744.6764879281,3.0,412.81659797366376,6.198437499999997,11.143790494842206
2021-04-01,punjab,13,33303,2684150.2883049594,125.0,5964.004849916525,6.198437499999997,247.72610552756998
2021-04-01,rajasthan,347,59475,6632056.156966744,253.0,9179.391579389903,6.198437499999997,612.086979840099
2021-04-01,sikkim,0,759,59114.58119721481,0.0,108.14884443893374,6.198437499999997,5.455814096433164
2021-04-01,tamil nadu,1372,126484,6980261.357832171,438.0,12194.965682473376,6.198437499999997,644.2236000251448
2021-04-01,tripura,0,3195,355461.49151974986,17.0,229.79967205442225,6.198437499999997,32.8063191330531
2021-04-01,uttar pradesh,175,160896,19331919.309620105,405.0,18090.219551098155,6.198437499999997,1784.185149323246
2021-04-01,uttarakhand,44,10335,975825.9671933034,47.0,1533.6102659364517,6.198437499999997,90.06111452802762
2021-04-01,west bengal,33,73525,8831002.476852667,188.0,8490.737521972482,6.198437499999997,815.0325490442448
2021-05-01,andaman & nicobar islands,0,5,36880.359897161,2.0,173.12753906492782,6.3629629629628255,3.44227211386012
2021-05-01,andhra pradesh,217,47201,8187343.098324869,221.0,7292.315048043213,6.3629629629628255,764.1753744420024
2021-05-01,arunachal pradesh,0,854,133969.6013062226,8.0,278.19866053123746,6.3629629629628255,12.504211563208415
2021-05-01,assam,0,18018,3020704.753151722,47.0,2729.3975677952308,6.3629629629628255,281.9410592785273
2021-05-01,bihar,8,57525,10076662.952584151,82.0,5504.166602170586,6.3629629629628255,940.5172828890409
2021-05-01,chandigarh,1,824,102122.7813425324,5.0,317.2710060092865,6.3629629629628255,9.53175086646306
2021-05-01,chhattisgarh,6,6667,2472726.4923175266,45.0,3436.938748942529,6.3629629629628255,230.7948586576293
2021-05-01,dnh and dd,0,654,56820.92194129529,0.0,539.8567685614902,6.3629629629628255,5.303448112430159
2021-05-01,delhi,0,43,1625059.0077520704,538.0,2956.163276127767,6.3629629629628255,151.67680904851363
2021-05-01,goa,31,772,141229.5146718055,43.0,566.9069534109435,6.3629629629628255,13.181824184047022
2021-05-01,gujarat,135,49378,5850522.184211051,169.0,22147.39425362036,6.3629629629628255,546.0654240464715
2021-05-01,haryana,18,11688,2453947.516411885,229.0,9916.027708179769,6.3629629629628255,229.0421006783934
2021-05-01,himachal pradesh,5,3224,664524.0700630188,26.0,1563.859155225398,6.3629629629628255,62.024141894093745
2021-05-01,jammu & kashmir,50,4288,1213954.313570331,23.0,1318.922895384963,6.3629629629628255,113.3058650391595
2021-05-01,jharkhand,40,23970,3193200.294717971,59.0,3148.9833913645743,6.3629629629628255,298.0411351496526
2021-05-01,karnataka,142,5588,5913925.427603808,697.0,11244.815687479204,6.3629629629628255,551.9832409351286
2021-05-01,kerala,143,11839,3233662.2118754857,191.0,5501.320303632507,6.3629629629628255,301.8176961564597
2021-05-01,ladakh,0,81,,,142.27518765901897,6.3629629629628255,
2021-05-01,madhya pradesh,1,6497,7030209.70669583,173.0,7306.099362773542,6.3629629629628255,656.1729575152727
2021-05-01,maharashtra,310,30155,10877673.39392013,659.0,17958.578864257823,6.3629629629628255,1015.2805420549006
2021-05-01,manipur,0,297,276457.50096139585,15.0,238.2280670923377,6.3629629629628255,25.80348860153413
2021-05-01,meghalaya,1,420,287202.1727424584,18.0,415.0553893885559,6.3629629629628255,26.80635528037526
2021-05-01,mizoram,0,19,106188.3328272588,,131.83001540367673,6.3629629629628255,9.911213934132679
2021-05-01,nagaland,0,251,191564.91400651343,5.0,165.10794288126058,6.3629629629628255,17.879938355194692
2021-05-01,odisha,28,6622,4063034.7147596735,116.0,5947.379810727196,6.3629629629628255,379.22816196106214
2021-05-01,puducherry,5,433,120804.958403299,3.0,423.5976313105741,6.3629629629628255,11.275474010754408
